Adresse,Prix,Ville,Région,Chambres,Salles_de_bain,Salles_d_eau,Étages,Aire_habitable,Taille_terrain,Taxes_municipales,Taxes_scolaires,Électricité,Assurances
"7305, avenue Vincent-Beaumont",395000,Charlesbourg,Québec Rive-Nord,5.0,2.0,,1.0,,,271800.0,24800.0,318000.0,
"33, avenue des Tilleuls",689900,Salaberry-De-Valleyfield,Montérégie (Rive-Sud Montréal),4.0,2.0,,1.0,1212.0,,,,,
"1565, rue Paton",549000,Sherbrooke (Jacques-Cartier),Estrie,4.0,1.0,1.0,2.0,1800.0,,349300.0,28100.0,150000.0,
"263, rue des Cygnes",529000,St-Amable,Montérégie (Rive-Sud Montréal),3.0,2.0,,1.0,2636.0,4900.0,262100.0,24000.0,14000.0,80000.0
"C-986, boulevard Wilfrid-Lavigne",364900,Gatineau (Aylmer),Outaouais,2.0,1.0,,1.0,1000.0,,259092.0,18276.0,113100.0,17710.0
"2, chemin de Ribot",754900,L'Ange-Gardien-Outaouais,Outaouais,3.0,2.0,1.0,2.0,,,321274.0,40000.0,195000.0,98500.0
"2123, rue des Merisiers",415000,Sherbrooke (Fleurimont),Estrie,2.0,2.0,,1.0,960.0,10501.0,272550.0,20714.0,228096.0,110526.0
"46, rue des Colibris",425000,Ste-Clotilde-De-Chateauguay,Montérégie (Rive-Sud Montréal),3.0,2.0,1.0,1.0,1384.0,3290.0,,,,
"101-7700, rue Bouvier - VIDA Lasalle - PAR MONDEV",249900,LaSalle,Montréal / l'Île,,1.0,,1.0,478.0,,,,,
"206-2244, rue Harmony",495000,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,2.0,1.0,1.0,1.0,960.0,,182289.0,26283.0,79557.0,63656.0
"181, rang Rhimbault",199000,Ste-Victoire-De-Sorel,Montérégie (Rive-Sud Montréal),3.0,1.0,1.0,1.0,,,196285.0,22531.0,500000.0,350000.0
"185, rue des Becs-Scie",374900,Gatineau (Masson-Angers),Outaouais,5.0,1.0,1.0,2.0,1360.0,,303485.0,22589.0,200000.0,
"419, rue Schubert",749000,St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),Montérégie (Rive-Sud Montréal),4.0,1.0,1.0,2.0,1650.0,5360.0,387718.0,39332.0,16000.0,
"476, chemin du Lac-Rond",202000,Ste-Hedwidge,Saguenay-Lac-Saint-Jean,2.0,1.0,,1.0,900.0,28925.0,,,,
"4216, rue Sylvio",629900,Fabreville,Laval,2.0,1.0,1.0,2.0,1240.0,3833.0,335800.0,38800.0,168000.0,
"12111, rue de la Gauchetière",460000,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,4.0,1.0,1.0,2.0,,1575.0,,,,
"13, rue des Mélèzes",495000,St-Lin-Laurentides,Lanaudière,3.0,1.0,1.0,2.0,1500.0,14000.0,189900.0,25100.0,,
